Date,Venue,Location,Time,event_type,orchestra_id
1842-12-07T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,1
1843-02-18T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,2
1843-04-07T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,3
1843-04-22T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,4
1843-11-18T05:00:00Z,Apollo Rooms,"Manhattan, NY",None,,5
1844-01-13T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,6
1844-03-16T05:00:00Z,Apollo Rooms,"Manhattan, NY",None,,7
1844-05-18T05:00:00Z,Apollo Rooms,"Manhattan, NY",None,,8
1844-11-16T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,9
1845-01-11T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,10
1845-03-01T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,11
1845-04-19T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,12
1845-11-22T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,13
1846-01-17T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,14
1846-03-07T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,15
1846-04-25T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,16
1846-05-20T05:00:00Z,Castle Garden,"Manhattan, NY",None,,17
1846-11-21T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,18
1847-01-09T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,19
1847-03-06T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,20
1847-04-17T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,21
1847-11-27T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,22
1848-01-15T05:00:00Z,Apollo Rooms,"Manhattan, NY",None,,23
1848-02-05T05:00:00Z,Castle Garden,"Manhattan, NY",8:00PM,,24
1848-03-04T05:00:00Z,Apollo Rooms,"Manhattan, NY",None,,25
1848-04-29T05:00:00Z,Apollo Rooms,"Manhattan, NY",None,,26
1848-12-02T05:00:00Z,"Assembly Rooms, Chinese Buildings","Manhattan, NY",8:00PM,,27
1849-01-27T05:00:00Z,"Assembly Rooms, Chinese Buildings","Manhattan, NY",8:00PM,,28
1849-03-17T05:00:00Z,Apollo Saloon,"Manhattan, NY",8:00PM,,29
1849-05-12T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,30
1849-11-24T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,31
1850-01-12T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,32
1850-03-02T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,33
1850-04-20T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,34
1850-11-23T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,35
1851-01-11T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,36
1851-03-01T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,37
1851-04-26T05:00:00Z,Apollo Rooms,"Manhattan, NY",8:00PM,,38
1851-11-22T05:00:00Z,Niblo's Concert Room,"Manhattan, NY",8:00PM,,39
1852-01-10T05:00:00Z,Niblo's Concert Room,"Manhattan, NY",8:00PM,,40
1852-02-28T05:00:00Z,Niblo's Concert Room,"Manhattan, NY",8:00PM,,41
1852-04-17T05:00:00Z,Niblo's Concert Room,"Manhattan, NY",8:00PM,,42
1852-11-13T05:00:00Z,Niblo's Concert Saloon,"Manhattan, NY",8:00PM,,43
1853-01-15T05:00:00Z,Niblo's Concert Saloon,"Manhattan, NY",8:00PM,,44
1853-03-05T05:00:00Z,Niblo's Concert Saloon,"Manhattan, NY",8:00PM,,45
1853-04-23T05:00:00Z,Niblo's Concert Saloon,"Manhattan, NY",8:00PM,,46
1853-11-26T05:00:00Z,Metropolitan Hall,"Manhattan, NY",8:00PM,,47
1854-01-14T05:00:00Z,Broadway Tabernacle,"Manhattan, NY",8:00PM,,48
1854-03-04T05:00:00Z,Broadway Tabernacle,"Manhattan, NY",8:00PM,,49
1854-04-22T05:00:00Z,Broadway Tabernacle,"Manhattan, NY",8:00PM,,50
1854-12-02T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,51
1855-01-20T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,52
1855-03-10T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,53
1855-04-21T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,54
1855-05-19T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,55
1855-11-24T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,56
1856-01-12T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,57
1856-03-01T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,58
1856-04-19T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,59
1856-11-22T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,60
1857-01-10T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,61
1857-03-07T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,62
1857-04-25T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,63
1857-11-21T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,64
1858-01-09T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,65
1858-03-06T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,66
1858-04-24T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,67
1858-11-20T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,68
1859-01-08T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,69
1859-02-12T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,70
1859-03-26T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,71
1859-04-30T05:00:00Z,Niblo's Garden,"Manhattan, NY",8:00PM,,72
1859-11-19T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,73
1860-01-07T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,74
1860-02-11T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,75
1860-03-24T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,76
1860-04-28T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,77
1860-11-10T05:00:00Z,Academy of Music,"Manhattan, NY",8:00PM,,78
