title,conductor,composer_id,movement,work_id
,,,,1
,,,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",2
,,,,3
,,,,4
,,,Overture,5
,,,Duet,6
,,,"""In Des Lebens Fruhlingstagen...O spur ich nicht linde,"" Florestan (aria)",7
,,,"""Ach Ich liebte,"" Konstanze (aria)",8
,,,,9
,,,,10
,,,"Elvira (aria): ""Qui la voce...Vien, diletto""",11
,,,,12
,,,,13
,,,Overture,14
,,,Inflammatus et Accensus (Aria with Chorus),15
,,,Romanza: Larghetto con moto,16
,,,Rondo alla spagniola: Allegro moderato,17
,,,Overture,18
,,,Overture,19
,,,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",20
,,,,21
,,,,22
,,,,23
,,,Andante con variazioni,24
,,,Minuetto,25
,,,Overture,26
,,,,27
,,,Aria (unspecified),28
,,,,29
,,,,30
,,,,31
,,,,32
,,,Overture,33
,,,,34
,,,,35
,,,,36
,,,,37
,,,,38
,,,"Cavatina: ""Quando quell 'oum quell 'unico""",39
,,,,40
,,,Overture,41
,,,"""Regnava nel silenzio,"" Lucia (aria), Act I, scene ii",42
,,,,43
,,,,44
,,,"""Il dolce suono"" (Mad Scene), Lucia (aria), Act III, scene i",45
,,,Allegro con spirito,46
,,,Menuetto o Scherzo - Allegro,47
,,,,48
,,,,49
,,,"""Ah! non credea mirarti... Ah non giunge,"" Amina (aria)",50
,,,Adagio,51
,,,Finale,52
,,,Overture,53
,,,,54
,,,,55
,,,,56
,,,Overture,57
,,,Allegro moderato,58
,,,Overture,59
,,,,60
,,,,61
,,,Overture,62
,,,,63
,,,,64
,,,,65
,,,"""Quanto Amore,"" Adina/Dulcamara (duet)",66
,,,,67
,,,,68
,,,,69
,,,,70
,,,Cavatina [unspecified],71
,,,,72
,,,,73
,,,"""Wie nahte mir der Schlummer...Leise, leise, fromme Weise,"" Agathe (Scene and Aria), Act II",74
,,,,75
,,,,76
,,,Overture,77
,,,"""Deh, per questo istante solo""",78
,,,"""Mir ist so wunderbar,"" Quartet",79
,,,Overture,80
,,,,81
,,,,82
,,,,83
,,,,84
,,,,85
,,,"""Grace, Seigneur,"" Isabelle (aria)",86
,,,,87
,,,,88
,,,,89
,,,,90
,,,,91
,,,"""Seine fromme Liebes-Gabe,"" Gabriele (aria)",92
,,,,93
,,,"""Eccomi, giunto omai,"" Armando (Scena e Cavatina)",94
,,,Overture,95
,,,,96
,,,,97
,,,Overture,98
,,,"""Se m'abbandoni,"" (cavatina)",99
,,,,100
,,,Fac ut Portem Christi mortem (Cavatina),101
,,,,102
,,,Overture,103
,,,,104
,,,,105
,,,,106
,,,,107
,,,,108
,,,,109
,,,,110
,,,,111
,,,,112
,,,,113
,,,Overture,114
,,,Cavatina [unspecified],115
,,,Andante cantabile,116
,,,,117
,,,,118
,,,,119
,,,Overture,120
,,,,121
,,,,122
,,,,123
,,,Overture,124
,,,Overture,125
,,,"""Per questa fiamma indomita,"" Giovanna (aria)",126
,,,Overture,127
,,,"''Tutto or morte,'' Elena (aria)",128
,,,,129
,,,"""Non fu sogno,"" Giselda (aria), Part IV",130
,,,,131
,,,,132
,,,,133
,,,,134
,,,,135
,,,,136
,,,,137
,,,,138
,,,,139
,,,"""Robert, toi que j'aime,"" Isabelle (cavatina), Act IV",140
,,,,141
,,,,142
,,,,143
,,,"""Care Compagne... Come per me serena,"" Amina (recitative and cavatina)",144
,,,,145
,,,Overture,146
,,,,147
,,,,148
,,,Overture,149
,,,"""Batti, batti,"" Zerlina, Act I, scene xvi",150
,,,,151
,,,,152
,,,,153
,,,,154
,,,,155
,,,Overture,156
,,,,157
,,,,158
,,,,159
,,,,160
,,,Overture,161
,,,,162
,,,,163
,,,Overture,164
,,,Unspecified Recitative and Aria,165
,,,,166
,,,Scene and Aria (unspecified),167
,,,Overture,168
,,,,169
,,,,170
,,,Overture,171
,,,,172
,,,Overture,173
,,,Marcia funebre: Adagio assai,174
,,,"10. Happy and blest are they who have endured, Chorus",175
,,,Aria (Elijah): It is enough!,176
,,,"Recitative (Tenor): See now, he sleepeth beneath a juniper tree",177
,,,Trio (Angels) Lift thine eyes,178
,,,Recordare,179
,,,"To Thee, O Lord, I yield my Spirit, Chorale",180
,,,III. Adagio religioso,181
,,,Chorus: But the Lord from the north hath raised one,182
,,,"15. Sleepers, wake! A voice is calling, Chorale",183
,,,,184
,,,,185
,,,,186
,,,"""Dies Bildnis ist bezaubernd,"" Tamino, Act I, scene i",187
,,,,188
,,,"""Il mio tesoro intanto,"" Don ottavio, Act II, scene x",189
,,,,190
,,,,191
,,,"""Dies Bildnis ist bezaubernd,"" Tamino, Act I, scene i",192
,,,,193
,,,,194
,,,,195
,,,,196
,,,"""From out this temple's walls so holy,"" Dandau and Nadori (Duet)",197
,,,,198
,,,,199
,,,,200
,,,,201
,,,,202
,,,,203
,,,,204
,,,,205
,,,,206
,,,Overture,207
,,,,208
,,,,209
,,,,210
,,,,211
,,,,212
,,,,213
,,,,214
,,,,215
,,,Overture,216
,,,,217
,,,,218
,,,,219
,,,Overture,220
,,,,221
,,,,222
,,,Overture,223
,,,,224
,,,,225
,,,Overture,226
,,,,227
,,,,228
,,,Overture,229
,,,,230
,,,,231
,,,,232
,,,,233
,,,,234
,,,Overture,235
,,,,236
,,,,237
,,,Overture,238
,,,1. Scherzo: Allegro vivace,239
,,,,240
,,,5. Intermezzo (Entr'acte): Allegro appassionato,241
,,,7. Nocturne: Andante tranquillo,242
,,,9. Wedding March: Allegro vivace,243
,,,11. A Dance of Clowns,244
,,,12. Melodrama: Allegro vivace,245
,,,,246
,,,,247
,,,,248
,,,Overture,249
,,,,250
,,,,251
,,,Overture,252
,,,,253
,,,,254
,,,,255
,,,,256
,,,,257
,,,Overture,258
,,,,259
,,,,260
,,,Overture,261
,,,,262
,,,,263
,,,Overture,264
,,,,265
,,,,266
,,,,267
,,,,268
,,,Menuetto,269
,,,1. Scherzo: Allegro vivace,270
,,,7. Nocturne: Andante tranquillo,271
,,,9. Wedding March: Allegro vivace,272
,,,,273
,,,,274
,,,,275
,,,,276
,,,"""In quali eccessi, o numi...Mi tradi,"" Donna Elvira, Act II, scene xi",277
,,,,278
,,,,279
,,,,280
,,,,281
,,,,282
,,,Overture,283
,,,,284
,,,Aria (Elijah): It is enough!,285
,,,,286
,,,Overture,287
,,,,288
,,,,289
,,,,290
,,,,291
,,,Andante,292
,,,Finale,293
,,,Overture,294
,,,,295
